,price,size,rooms,bathrooms,municipality,distance,floor,hasLift,propertyType_chalet,propertyType_countryHouse,propertyType_duplex,propertyType_flat,propertyType_penthouse,propertyType_studio,exterior_True
41,620.0,60.0,2,1,705.6331317949237,7981.0,670.4163818553365,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
42,750.0,46.0,1,1,705.6331317949237,1476.0,697.6398926981135,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
43,680.0,55.0,0,1,705.6331317949237,5097.0,678.6636365033631,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
44,700.0,50.0,1,2,693.8366208382424,32052.0,670.4163818553365,-1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
45,750.0,35.0,1,1,705.6331317949237,4047.0,670.4163818553365,-1,0.0,0.0,1.0,0.0,0.0,0.0,1.0
46,750.0,66.0,2,1,698.2726670638707,13311.0,701.6979621920462,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
47,650.0,65.0,1,1,699.6096264559128,29440.0,690.1951758466795,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
48,600.0,50.0,1,1,686.0797448849435,24430.0,670.4163818553365,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
49,650.0,61.0,1,1,695.799965670853,34886.0,696.0917641954768,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
50,650.0,65.0,2,1,698.2726670638707,11537.0,697.6398926981135,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
51,700.0,45.0,1,1,705.6331317949237,12321.0,697.6398926981135,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
52,625.0,62.0,2,1,696.1649909275795,11666.0,678.6636365033631,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
53,595.0,45.0,1,1,705.6331317949237,4543.0,678.6636365033631,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
54,650.0,55.0,1,1,705.6331317949237,10495.0,710.7463805527138,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
55,725.0,50.0,1,1,705.6331317949237,7708.0,696.0917641954768,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
56,750.0,95.0,3,1,699.6096264559128,28483.0,697.9685377881583,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
57,700.0,30.0,1,1,705.6331317949237,12049.0,701.6979621920462,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0
58,700.0,27.0,1,1,705.6331317949237,1391.0,697.6398926981135,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
59,650.0,59.0,2,1,699.6096264559128,30562.0,701.6979621920462,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
60,650.0,55.0,1,1,705.6331317949237,10296.0,710.7463805527138,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
61,750.0,65.0,2,1,705.6331317949237,5580.0,670.4163818553365,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
62,725.0,70.0,2,1,705.6331317949237,4117.0,670.4163818553365,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
63,700.0,80.0,1,1,699.6096264559128,29460.0,701.6979621920462,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
64,650.0,40.0,1,1,705.6331317949237,12224.0,678.6636365033631,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
65,695.0,90.0,3,1,705.6331317949237,7729.0,670.4163818553365,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
66,750.0,55.0,1,1,705.6331317949237,6017.0,670.4163818553365,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
67,650.0,65.0,2,1,705.6331317949237,7559.0,670.4163818553365,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
68,666.0,70.0,1,2,692.2585878985183,24862.0,701.6979621920462,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
69,750.0,78.0,2,2,699.6096264559128,29976.0,670.4163818553365,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
70,630.0,74.0,3,1,684.7290276328325,36483.0,670.4163818553365,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
71,635.0,55.0,0,1,685.5136046565373,14528.0,696.0917641954768,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0
72,725.0,69.0,2,1,695.799965670853,35892.0,701.6979621920462,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
73,750.0,35.0,1,1,705.6331317949237,859.0,701.6979621920462,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
74,690.0,65.0,2,1,705.6331317949237,4724.0,697.6398926981135,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
75,700.0,30.0,0,1,705.6331317949237,1041.0,696.0917641954768,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
76,730.0,64.0,3,1,697.3742686460787,20235.0,701.6979621920462,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
77,750.0,51.0,1,1,705.6331317949237,3436.0,701.6979621920462,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
78,750.0,48.0,1,1,701.0123730059954,20526.0,710.7463805527138,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
79,690.0,35.0,1,1,705.6331317949237,4802.0,670.4163818553365,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
80,750.0,74.0,3,1,698.2726670638707,13017.0,710.7463805527138,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
81,700.0,35.0,1,1,705.6331317949237,852.0,678.6636365033631,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
82,720.0,42.0,1,1,705.6331317949237,8333.0,710.7463805527138,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
83,595.0,55.0,1,1,680.1752310301276,29699.0,701.6979621920462,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
84,700.0,45.0,1,1,705.6331317949237,1113.0,701.6979621920462,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
85,700.0,75.0,2,1,681.6927156331628,43915.0,701.6979621920462,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
86,675.0,87.0,2,2,682.4242993548665,44503.0,696.0917641954768,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
87,650.0,45.0,1,1,687.3311971200925,37741.0,678.6636365033631,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
88,750.0,55.0,0,1,705.6331317949237,918.0,696.0917641954768,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0
89,720.0,45.0,0,1,701.4047554950265,15433.0,698.291590668491,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0
90,624.0,45.0,1,1,686.0797448849435,24077.0,670.4163818553365,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
91,633.0,45.0,1,1,686.0797448849435,24077.0,670.4163818553365,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
92,640.0,33.0,0,1,705.6331317949237,11189.0,696.0917641954768,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0
93,645.0,84.0,2,2,681.6927156331628,43827.0,696.0917641954768,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
94,750.0,46.0,1,1,705.6331317949237,1069.0,697.6398926981135,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
95,735.0,35.0,0,1,705.6331317949237,11088.0,701.6979621920462,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0
96,600.0,55.0,1,1,680.8257734019426,25189.0,670.4163818553365,-1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
97,750.0,75.0,3,1,705.6331317949237,8286.0,670.4163818553365,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
98,600.0,25.0,1,1,705.6331317949237,183.0,698.291590668491,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0
99,705.0,48.0,1,1,705.6331317949237,11472.0,710.7463805527138,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
100,650.0,62.0,2,1,688.8603520666804,43229.0,697.6398926981135,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
101,700.0,61.0,2,1,697.87082586322,23917.0,701.6979621920462,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
102,650.0,40.0,0,1,705.6331317949237,5088.0,690.1951758466795,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
103,700.0,40.0,1,1,705.6331317949237,3076.0,678.6636365033631,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
104,730.0,51.0,2,1,705.6331317949237,6767.0,710.7463805527138,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
105,750.0,50.0,2,1,705.6331317949237,8331.0,697.6398926981135,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
106,680.0,56.0,2,1,693.2021808922763,19298.0,697.6398926981135,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
107,710.0,78.0,3,1,697.3742686460787,21617.0,710.7463805527138,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
108,720.0,47.0,2,1,705.6331317949237,7088.0,701.6979621920462,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
109,750.0,43.0,0,1,705.6331317949237,5332.0,670.4163818553365,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0
110,695.0,40.0,0,1,705.6331317949237,12376.0,670.4163818553365,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0
111,630.0,54.0,1,2,684.7290276328325,32432.0,670.4163818553365,-1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
112,750.0,90.0,3,1,700.3420445563922,26401.0,670.4163818553365,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
113,730.0,50.0,1,1,705.6331317949237,8717.0,696.0917641954768,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
