,price,size,municipality,distance,floor,hasLift,rooms_0,rooms_1,rooms_2,rooms_3,rooms_4,bathrooms_1,bathrooms_2,bathrooms_3,propertyType_chalet,propertyType_countryHouse,propertyType_duplex,propertyType_flat,propertyType_penthouse,propertyType_studio,exterior_True
27,750.0,25.0,705.6331317949237,533,710.7463805527138,702.2716741801357,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
28,750.0,40.0,705.6331317949237,1989,701.6979621920462,687.6335443462581,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
29,650.0,62.0,705.6331317949237,7841,701.6979621920462,687.6335443462581,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
30,750.0,30.0,705.6331317949237,935,697.6398926981135,687.6335443462581,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
31,750.0,39.0,705.6331317949237,2036,698.291590668491,687.6335443462581,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
32,700.0,62.0,705.6331317949237,8492,697.6398926981135,687.6335443462581,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
33,747.0,96.0,693.7070431636203,26611,701.6979621920462,702.2716741801357,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
34,640.0,35.0,705.6331317949237,7324,701.6979621920462,702.2716741801357,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
35,750.0,30.0,705.6331317949237,2133,700.3420445563922,702.2716741801357,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
36,750.0,70.0,699.6096264559128,28703,696.0917641954768,702.2716741801357,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
37,625.0,52.0,684.0784852610176,40445,696.0917641954768,687.6335443462581,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
38,700.0,40.0,705.6331317949237,1431,697.6398926981135,702.2716741801357,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
39,750.0,40.0,705.6331317949237,2417,690.1951758466795,702.2716741801357,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
40,650.0,35.0,705.6331317949237,1121,696.0917641954768,702.2716741801357,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
41,720.0,70.0,699.6096264559128,29099,696.0917641954768,687.6335443462581,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
42,699.0,52.0,705.6331317949237,7092,697.6398926981135,702.2716741801357,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
43,750.0,65.0,685.5136046565373,13081,670.4163818553365,702.2716741801357,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
44,695.0,65.0,696.9436818808824,13904,670.4163818553365,702.2716741801357,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
45,750.0,78.0,693.2021808922763,19719,670.4163818553365,702.2716741801357,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
46,620.0,60.0,705.6331317949237,7981,670.4163818553365,687.6335443462581,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
47,500.0,28.0,705.6331317949237,769,701.6979621920462,687.6335443462581,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
48,550.0,38.0,685.5136046565373,10938,670.4163818553365,687.6335443462581,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
49,750.0,46.0,705.6331317949237,1476,697.6398926981135,702.2716741801357,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
50,680.0,55.0,705.6331317949237,5097,678.6636365033631,687.6335443462581,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
51,700.0,50.0,693.8366208382424,32052,670.4163818553365,673.696037921879,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
52,750.0,35.0,705.6331317949237,4047,670.4163818553365,673.696037921879,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
53,750.0,66.0,698.2726670638707,13311,701.6979621920462,702.2716741801357,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
54,650.0,65.0,699.6096264559128,29440,690.1951758466795,702.2716741801357,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
55,720.0,133.0,689.0655122002563,19453,701.6979621920462,702.2716741801357,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
56,600.0,50.0,686.0797448849435,24430,670.4163818553365,702.2716741801357,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
57,650.0,61.0,695.799965670853,34886,696.0917641954768,702.2716741801357,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
58,650.0,65.0,698.2726670638707,11537,697.6398926981135,687.6335443462581,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
59,700.0,45.0,705.6331317949237,12321,697.6398926981135,687.6335443462581,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
60,625.0,62.0,696.1649909275795,11666,678.6636365033631,687.6335443462581,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
61,595.0,45.0,705.6331317949237,4543,678.6636365033631,687.6335443462581,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
62,650.0,55.0,705.6331317949237,10495,710.7463805527138,702.2716741801357,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
63,725.0,50.0,705.6331317949237,7708,696.0917641954768,702.2716741801357,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
64,750.0,95.0,699.6096264559128,28483,697.9685377881583,702.2716741801357,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
